Date,Close,High,Low,Open,Volume,Stock Name
2024-12-02,357.089996337891,360,351.149993896484,352.380004882813,77986500,TSLA
2024-12-03,351.420013427734,355.690002441406,348.200012207031,351.799987792969,58267200,TSLA
2024-12-04,357.929992675781,358.100006103516,348.600006103516,353,50810900,TSLA
2024-12-05,369.489990234375,375.429992675781,359.5,359.869995117188,81403600,TSLA
2024-12-06,389.220001220703,389.489990234375,370.799987792969,377.420013427734,81455800,TSLA
2024-12-09,389.790008544922,404.799987792969,378.010009765625,397.609985351563,96359200,TSLA
2024-12-10,400.989990234375,409.730010986328,390.850006103516,392.679992675781,97563600,TSLA
2024-12-11,424.769989013672,424.880004882813,402.380004882813,409.700012207031,104287600,TSLA
2024-12-12,418.100006103516,429.299987792969,415,424.839996337891,87752200,TSLA
2024-12-13,436.230010986328,436.299987792969,415.709991455078,420,89000200,TSLA
2024-12-16,463.019989013672,463.190002441406,436.149993896484,441.089996337891,114083800,TSLA
2024-12-17,479.859985351563,483.989990234375,457.510009765625,475.899993896484,131223000,TSLA
2024-12-18,440.130004882813,488.540008544922,427.010009765625,466.5,149340800,TSLA
2024-12-19,436.170013427734,456.359985351563,420.019989013672,451.880004882813,118566100,TSLA
2024-12-20,421.059997558594,447.079986572266,417.640014648438,425.510009765625,132216200,TSLA
2024-12-23,430.600006103516,434.510009765625,415.410003662109,431,72698100,TSLA
2024-12-24,462.279998779297,462.779998779297,435.140014648438,435.899993896484,59551800,TSLA
2024-12-26,454.130004882813,465.329986572266,451.019989013672,465.160003662109,76366400,TSLA
2024-12-27,431.660003662109,450,426.5,449.519989013672,82666800,TSLA
2024-12-30,417.410003662109,427,415.75,419.399993896484,64941000,TSLA
2024-12-31,403.839996337891,427.929992675781,402.540008544922,423.790008544922,76825100,TSLA
2025-01-02,379.279998779297,392.730010986328,373.040008544922,390.100006103516,109710700,TSLA
2025-01-03,410.440002441406,411.880004882813,379.450012207031,381.480010986328,95423300,TSLA
2025-01-06,411.049987792969,426.429992675781,401.700012207031,423.200012207031,85516500,TSLA
2025-01-07,394.359985351563,414.329986572266,390,405.829986572266,75699500,TSLA
2025-01-08,394.940002441406,402.5,387.399993896484,392.950012207031,73038800,TSLA
2025-01-10,394.739990234375,399.279998779297,377.290008544922,391.399993896484,62127500,TSLA
